GDP,Research and Development,Energy Consumption,Employment,Unemployment,Migration,Population
2158443770,0,0.013536923,0,0,3001,98172.26087
10122044353,0,0.020129231,62.34686959,2.610826083,-15969,27225634.13
63794371749,0,0.129345385,66.16526114,14.9333477,43649.4,21562329.52
8816884123,0.010499565,0.100639231,48.82165196,16.14052175,-141432.6,2985596.565
2.37046E+11,0.132109565,2.170308462,77.7316523,2.39452175,1151490.4,6197494.783
3.65012E+11,0.446759565,2.759697692,54.49043506,11.12713043,-40199.2,39747385.04
6886070865,0.220745652,0.177918462,49.60060883,14.0527826,-124655.8,2980269.043
406043478.3,0.055131739,0.008258462,0,0,0,56960.52174
1088893819,0,0.007881538,0,0,787,84036.73913
8.96571E+11,0.942966522,5.050717692,60.67734826,5.918434806,767683.4,21255503.7
3.33899E+11,2.168815652,1.451720769,56.21234827,5.095260827,152826.6,8305101.696
31585074996,0.246682609,0.606433077,59.32060855,7.243478257,-4349,8748534.391
1696914898,0.032958261,0.006786923,79.64143405,1.819130436,-68512.8,8111217.826
4.02874E+11,1.835643913,2.729289231,48.3867826,7.817304321,212674.4,10713305
5866188193,0,0.029835385,70.59247788,1.420739107,-15778,8569716.522
7242545346,0.098746957,0.017375385,69.69478242,4.230086949,-127499.8,14555368.35
1.10377E+11,0,0.598265385,54.83886951,3.853826087,-2149003.2,141344663.3
37299374186,0.500851304,0.878153846,46.95830453,11.22530431,-70307.8,7623397.652
20422882100,0.004398261,0.409500769,68.37534764,1.045217387,148736,1028005.348
9002341304,0,0.054983846,66.77630433,10.89017397,8284.2,335580.6522
12586836658,0.070608696,0.226061538,35.66143484,26.28556533,-77681.2,3653990.87
39999867435,0.651897391,1.034916923,56.03973903,9.135956557,39899.2,9690497.391
1253629224,0,0.011777692,57.5003478,10.86656529,8170.8,299510.7826
3580555522,0.09049087,0.008322308,0,0,0,63648
18288337600,0.09779,0.177306923,68.53930465,2.983260849,-73759.8,9561513.261
1.4194E+12,0.817131739,8.814878462,58.73969551,8.970434749,9184.8,188950528.7
3735102628,0,0.020713077,60.90534791,10.5693478,980.4,278154.7391
1219066946,0,0.02594,66.05087015,2.431217396,11194.8,656867.4348
10738506794,0.057576087,0.052385385,52.44313016,18.78317398,18910.8,1872457.652
1586603129,0,0.005446154,67.37295599,7.11100004,-134229.6,4093584.957
1.25728E+12,1.729575217,13.31272615,61.12469532,7.289608665,1052787.8,33056275.26
4.91292E+11,0.72700087,1.284262308,64.99313106,4.060434808,248696.4,7667051.435
1.67984E+11,0.155929565,1.082619231,54.29126109,8.43969569,57260.8,16564714.35
5.21542E+12,1.241244348,52.59994846,70.11265265,4.192043439,-1625482,1313625870
22091502556,0,0.084736923,75.40404278,5.054217442,-43200,19053976.39
2.11085E+11,0.181779565,1.231406154,60.39095688,12.14973918,-156801,43467268.87
751987701.4,0,0.001457692,40.65060839,4.282521725,-9200,649277.6522
31396005578,0.33323,0.159416923,56.92060852,7.018608674,39540,4377353.261
51779154753,0.434719565,0.434376923,51.77121751,3.372260871,-128092.4,11213340.3
439754168.1,0,0.005538462,0,0,0,51420.3913
18802673655,0.307813913,0.111435385,57.85956557,7.28947824,43391.6,1050832.565
1.52819E+11,1.217881304,1.502625385,55.89034769,6.167217431,92857.4,10377747.91
3.0383E+12,2.326452609,14.40485923,54.70943501,7.462956532,1034147,81958612.96
1005799228,0,0.024650769,54.73217375,12.37139117,1999,805709.0435
422304675.5,0,0.00173,0,0,0,70669.47826
2.7044E+11,2.227056522,0.888589231,61.05573903,5.527173944,78340.4,5492196.565
44273783737,0,0.245483077,54.95682625,6.337956553,-152163,9320718.087
1.23611E+11,0.067651739,1.357984615,35.37582605,17.08873915,-184050.2,34832024.78
58718215552,0.13681913,0.386084615,64.10565202,4.207434748,-60755.4,14324075.17
807437473.2,0,0.011799231,74.50534721,6.686391354,-65999.2,1852737.304
1.1126E+12,1.004303913,5.786529231,46.78752169,16.54600002,1126452,44067403.91
16547782386,0.982784348,0.22152,54.92682615,9.400956569,-10053.8,1351597.217
30256298637,0.052007391,0.076570769,78.690434,2.590478285,-81778.6,81959937.91
2.09674E+11,2.931724783,1.253766154,54.30913096,9.608869532,52612.6,5309126.609
3228442476,0,0.032083846,56.17952164,4.142695665,-36306.2,837597.087
2.22385E+12,1.966010435,10.97407923,50.42686977,9.583608627,434705.2,63694579.17
1628051990,0.037442174,0.010494615,0,0,0,47447.43478
11109424655,0.065498696,0.041274615,39.23326078,18.46795663,39902.2,1537024.391
2.34539E+12,1.481664783,9.772723846,58.06013041,5.933304414,1077484.6,61698463.39
9301337215,0.151397391,0.148454615,56.20195654,14.19460869,-259661.6,3918183.696
27465803540,0.02644,0.133828462,66.12447822,6.820478273,18428.4,23215383.17
0,0,0.054741538,0,0,0,32590.21739
5845624611,0,0.02212,62.36478242,4.161347814,-242830.4,9676668.696
943583342.6,0.007432609,0.004002308,52.91804339,9.777130417,-16075.6,1668524.565
729948578.2,0,0.005015385,69.1630866,4.403956527,-28740.4,1442294.348
10119421947,0,0.026366154,55.51382612,8.248999907,67001.6,857637.8261
2.211E+11,0.487940435,1.360046154,45.50791301,14.61760865,75874.2,10898022.7
726288199.7,0,0.00322,0,0,-4217.8,105689.2609
1779755662,0.097254783,0.007973077,0,0,0,56423
38379297437,0.021828261,0.169860769,60.37843489,2.940608688,-178762.2,13783491.87
3315086957,0.033887391,0.035863077,61.36595602,9.264347802,-6714.8,158212.3478
1834501649,0,0.021006923,50.10552166,11.74434778,-50373.4,754603.1739
13174261590,0.00971087,0.101217692,61.79652173,4.189782588,-31999.8,7774336.609
45451874175,0.668358261,0.385158462,46.08847809,12.84117388,-54796,4316993.13
5815421037,0,0.025279231,57.10934797,12.60147824,-149600.2,9502480.739
1.05492E+11,0.91276087,1.081607692,47.01743499,7.613782613,45059.8,10045225.83
5.23625E+11,0.012316087,4.369645385,62.54339152,5.709739146,-720197.4,233070389.5
1.26034E+12,0.564966957,14.72496923,54.01013084,2.716652176,-2121970,1177143011
2.06583E+11,1.18205913,0.607725385,57.29956536,8.319086987,73001.2,4280269.13
98356229455,0.01528913,1.135773846,38.62604324,8.811782609,-47735,28672660.09
14636401269,1.779334783,0.145601538,73.27186916,3.855173888,3140.8,306387.2609
2.04375E+11,3.554666522,0.812999231,56.84617399,8.86643475,138280.6,7238143.478
1.78496E+12,1.035323478,7.726965385,43.6479998,9.840086916,693745.4,58589872.65
11809655660,0.004785217,0.155520769,57.33704326,13.05473912,-88186,2762890.609
21144306592,0.047982609,0.250572308,35.40034817,13.73704334,276247.6,6813050.913
4.85627E+12,2.838443478,22.54481154,58.58043505,4.150695635,189915.8,127269669.9
1.03253E+11,0.180768261,2.020536923,64.83547858,8.043260885,-231168.6,16034195.43
35660960961,0.049607826,0.169774615,60.99013071,9.690043449,-57114.4,39227113.74
10146215025,0.007305652,0.044519231,80.74052263,1.57478261,-56529.2,13686079
126446278.4,0,0.000426923,0,0,-1970,96876.21739
93555641785,0.137839565,0.96413,70.06108657,1.589478275,303600,2743666
31374898669,0,0.216723077,42.34265236,7.420173852,360810.4,4967974.13
1634968739,0,0.007079231,54.7306089,2.369782624,106117,3536845.435
44892712139,0,0.680770769,40.76165208,18.46047833,-127978.4,5901123.304
43498739023,0.054108696,0.19171,51.81269588,6.591260931,-473200,19841520.74
1775914448,0.009866087,0.005278462,48.66834773,30.08134784,-39885,2017928.609
30664236255,0.687204783,0.350783846,51.95352173,11.47965216,-103035.2,3218922.13
43388117470,0.96742087,0.171202308,52.89191304,4.349782607,30079.4,492974.0435
20516007472,0.46142913,0.166646923,51.69286977,12.49517389,-67802,2184212.261
75474373993,0.146053478,0.473720769,44.00869552,10.75334781,-468709,31414878
5117291138,0.336917826,0.130081538,43.19513022,6.512347885,-49829.2,3592317.217
7242947615,0.112906957,0.034162308,84.25869552,3.330434791,-7700,19660335.83
2168900197,0,0.008842308,57.57052148,3.479869542,12475.8,354546.0435
9.28725E+11,0.377853043,6.467060769,58.60486968,3.94960871,-1222431.6,109486850
8558927169,0.061282609,0.010915385,65.25491316,7.637956557,-162466.4,13929100.65
7697112232,0.374718696,0.039257692,47.65991261,6.293739112,6495.4,413716.6957
2831117528,0.28445087,0.008190769,38.60160877,23.81204348,-7156.4,615421.8261
5850311453,0.202679565,0.071677692,56.0739567,6.017347823,-22493.4,2655219.87
9448521950,0.077782174,0.113769231,80.222913,3.174478261,-21999.2,22009545.7
3254804239,0,0.046220769,42.81630408,10.98169571,19102.2,3271441.609
8432675359,0.137112174,0.049657692,53.80847798,8.151521703,-10477.6,1224687.783
4497557645,0,0.025056154,71.85891292,7.033391268,-40092,13646913.17
1.99939E+11,0.455258261,2.072979231,60.03404352,3.239565207,576640.2,26556241
8342126128,0.020939565,0.049493846,45.55282609,21.23652168,-13622,2028488.13
686809209,0,0.032692308,54.57065217,15.50530438,5280,240159.7826
4730234442,0,0.016243846,78.19221762,1.204130427,-17986.4,15218670.7
2.61097E+11,0.00952,0.935849231,52.72608682,4.222043473,-233005.4,148960550.2
8139072505,0.025600435,0.063366154,59.50439155,6.211086916,-143068,5600427.826
6.97356E+11,1.672018696,3.973016154,60.77378215,4.56778263,106594.6,16407704.96
3.31863E+11,1.287570435,1.866196923,63.18291341,3.745652137,130284,4785294.304
12726877537,0.026775217,0.059324615,82.78630497,1.599217389,-601762.4,25711366
42871456.51,0,0.002217692,0,0,0,10710.91304
1.25665E+11,0.49768913,0.855158462,63.32113001,5.512478238,80984.8,4223147.826
44963439588,0.063184783,0.406756923,58.34047815,4.36591308,302225.6,3040156.391
1.58512E+11,0.142652609,1.988583846,50.76934781,1.317260876,-1010039,168634612
28622251696,0.182184783,0.212696154,61.71760874,3.670608697,21542.6,3465131.13
1.19135E+11,0.067913913,0.56651,71.14465299,4.322434819,-416907.8,28313366.91
1.70606E+11,0.037286522,1.230090769,59.89530447,3.489565227,-932598.6,89256347.09
11592451764,0.001432174,0.057572308,56.37408679,2.545565237,-1200,6878315.565
3.64796E+11,0.63496,3.777999231,49.51278255,11.56239135,-114225,38198143.22
84007187143,0.057377826,0.450326154,39.61530453,12.54495658,-97545.8,3680203.391
