GDP,RnD,population,energy,unemployment,employment,migration,trade,tourism,exchange_rate
8816884123,925734.4986,2985596.565,0.100639231,210833.8882,637727.7555,-141432.6,6096960448,28.11563954,115.7555023
2.37046E+11,313160577.8,6197494.783,2.170308462,101338.8298,3289690.179,1151490.4,2.63649E+11,7.264371125,3.672375
3.65012E+11,1630726480,39747385.04,2.759697692,1991238.383,9751251.37,-40199.2,1.13716E+11,1.855604417,5.457360747
6886070865,15200702.04,2980269.043,0.177918462,188043.4305,663716.8529,-124655.8,5018412122,10.12915742,456.8555263
8.96571E+11,8454359745,21255503.7,5.050717692,652164.0627,6686157.278,767683.4,3.69561E+11,1.900796458,1.346283086
3.33899E+11,7241644922,8305101.696,1.451720769,211880.5575,2337525.81,152826.6,3.12022E+11,1.523203917,1.529124638
31585074996,77914886.96,8748534.391,0.606433077,299989.0299,2456766.098,-4349,27382382153,12.8858625,0.970827558
1696914898,559273.6388,8111217.826,0.006786923,64312.3384,2815590.765,-68512.8,503157267.1,14.55366879,1118.012336
4.02874E+11,7395339081,10713305,2.729289231,364223.3365,2254433.84,212674.4,5.92991E+11,0.542090375,4.479741087
7242545346,7151793.103,14555368.35,0.017375385,237712.4801,3916543.509,-127499.8,3094631080,846.5124129,556.1031617
37299374186,186814402.1,7623397.652,0.878153846,386402.2617,1616418.991,-70307.8,39256494926,6.873391667,1.597136018
20422882100,898251.6318,1028005.348,0.409500769,5793.535,378997.6847,148736,30061732112,1.87046275,0.375999995
39999867435,260758092.3,9690497.391,1.034916923,453603.7266,2782394.411,39899.2,50956642776,10.25358292,0.569100395
18288337600,17884165.34,9561513.261,0.177306923,130015.3485,2987054.109,-73759.8,11638569108,6.437765042,6.857312103
1.4194E+12,11598333258,188950528.7,8.814878462,8059773.202,52776552.87,9184.8,3.45249E+11,0.9090065,2.265527012
10738506794,6182812.009,1872457.652,0.052385385,150253.9504,419513.0966,18910.8,10269138231,10.51589408,6.662229952
1.25728E+12,21745615316,33056275.26,13.31272615,1311848.298,11000086.73,1052787.8,8.65366E+11,2.530177708,1.261060691
4.91292E+11,3571697484,7667051.435,1.284262308,177290.6467,2837793.188,248696.4,5.20708E+11,0.950321333,1.202485108
1.67984E+11,261936982.8,16564714.35,1.082619231,633814.057,4077228.103,57260.8,1.0789E+11,5.015197083,557.7410473
5.21542E+12,64736143692,1313625870,52.59994846,31966044.16,534637625.6,-1625482,2.38174E+12,11.20761875,7.401428715
2.11085E+11,383709145.1,43467268.87,1.231406154,2623339.894,13039457.39,-156801,77028855966,5.022278167,2163.539099
31396005578,104620909.4,4377353.261,0.159416923,138755.2325,1125298.85,39540,24472631813,4.628844875,444.2683418
18802673655,57877245.53,1050832.565,0.111435385,38579.44949,306220.8451,43391.6,22897561606,0.773276792,0.271839709
1.52819E+11,1861156415,10377747.91,1.502625385,322436.5666,2922078.233,92857.4,1.8512E+11,1.738186125,25.33916362
3.0383E+12,70684678672,81958612.96,14.40485923,3097570.517,22707667.15,1034147,2.18235E+12,0.543710833,0.217325983
2.7044E+11,6022843345,5492196.565,0.888589231,160979.9769,1778259.841,78340.4,2.46224E+11,0.715888042,6.312920338
1.23611E+11,83624902.88,34832024.78,1.357984615,1767088.904,3658094.909,-184050.2,73880675526,5.127462917,78.01458931
58718215552,80337751.92,14324075.17,0.386084615,275318.4703,4194829.18,-60755.4,30987731052,5.671960625,1062.613713
