Year,gdp,rnd,labour_force,population,unemployment,employment,trade,tourism,exchange_rate
1995,2.14978E+11,0.278732898,100770899.9,228831077.9,7.527909766,50.68002789,57.88777148,-50.72091141,200.5394652
1996,2.13879E+11,0.3192866,102606331.3,232260171.3,7.468165796,50.68050528,59.74387993,6.287019337,225.263361
1997,2.16688E+11,0.301792753,104379923,235655008.6,7.486852954,50.65881541,59.57953434,13.62984058,288.2773129
1998,2.24463E+11,0.337539557,106428925.8,239004018.4,7.659341744,50.55617441,59.51436196,6.137951773,317.2477626
1999,2.30407E+11,0.362396673,108271031.8,242327319.4,7.533346457,50.56070121,65.3466678,125.1635625,293.7596992
2000,2.31498E+11,0.39345655,109895307.5,245633606.4,7.491177004,50.540479,64.54006002,3.547538494,313.4944872
2001,2.41634E+11,0.392380395,111662115,248934635.9,7.68497965,50.33402902,67.90221876,-36.81115165,323.5468712
2002,2.71387E+11,0.417535769,113475542.4,252251505.6,7.63697134,50.30889531,69.74353568,7.026319459,320.7077356
2003,3.03675E+11,0.419899194,115488644.5,255589168,7.43962353,50.43318755,74.39441116,14.23555602,328.342292
2004,3.26449E+11,0.419397561,117407497,258949749.6,7.18483217,50.61199303,77.27018225,7.863643442,339.3216778
2005,3.51812E+11,0.431763813,118864005.9,262334108.7,6.700812537,50.91199807,79.30564511,7.59817764,341.6430886
2006,3.92849E+11,0.447375505,120475232,265736183.6,6.236023858,51.20503138,80.78171428,8.514136227,363.3629173
2007,4.25976E+11,0.467803679,121933960.7,269185390.6,6.082288227,51.28099186,83.76957112,2.795453384,25466429.85
2008,4.03584E+11,0.475229931,123337094.6,272657404.4,6.90552433,50.70436861,73.67392002,1.084275965,463.3231071
2009,4.31935E+11,0.483070925,124561399.5,276136194,7.02787229,50.52746692,77.77298275,3.10574368,469.9198527
2010,4.72855E+11,0.486426326,125901180.8,279601603,6.965853095,50.54088112,83.34847141,5.231076965,473.5284811
2011,4.79604E+11,0.476233365,127407661.7,283126307.1,6.975011351,50.58662245,82.17942951,6.447128919,464.0519437
2012,4.94642E+11,0.490951937,129025959.3,286713624.8,6.987506676,50.58615748,81.48106938,6.098162297,489.455363
2013,5.08587E+11,0.48166169,130568555.4,290334462.1,6.804871727,50.67958679,80.53507299,5.550304436,535.123423
2014,4.80571E+11,0.517136262,132274323.8,293970744,6.697602659,50.77010353,76.26258304,4.953060552,589.070855
2015,4.88772E+11,0.456213755,133879687.6,297639382.4,6.56998324,50.82227556,73.7388263,3.467235477,622.3384956
2016,5.17375E+11,0.031970758,135694029.7,301299505.4,6.296774868,51.01621127,71.30393397,4.199118628,650.2099807
